127.0.0.1 - - [10/Aug/2015:17:26:47 -0700] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [10/Aug/2015:17:27:02 -0700] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [10/Aug/2015:17:27:02 -0700] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [10/Aug/2015:17:27:07 -0700] "GET /GoBTJ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Aug/2015:17:27:08 -0700] "GET /GoBTJ/ HTTP/1.1" 200 8831
0:0:0:0:0:0:0:1 - - [10/Aug/2015:17:27:08 -0700] "GET /GoBTJ/resource/custom/js/post.js HTTP/1.1" 200 853
0:0:0:0:0:0:0:1 - - [10/Aug/2015:17:27:08 -0700] "GET /GoBTJ/resource/jquery-1.11.2/jquery-1.11.2.js HTTP/1.1" 200 294530
0:0:0:0:0:0:0:1 - - [10/Aug/2015:17:27:10 -0700] "POST /GoBTJ/login HTTP/1.1" 200 3427
0:0:0:0:0:0:0:1 - - [10/Aug/2015:17:27:10 -0700] "GET /GoBTJ/js/json2.js HTTP/1.1" 200 18058
0:0:0:0:0:0:0:1 - - [10/Aug/2015:17:27:10 -0700] "GET /GoBTJ/resource/custom/js/ajaxPostRequest.js HTTP/1.1" 200 2081
0:0:0:0:0:0:0:1 - - [10/Aug/2015:17:27:10 -0700] "GET /GoBTJ/resource/bootstrap-3.3.4/dist/js/bootstrap.js HTTP/1.1" 200 69863
0:0:0:0:0:0:0:1 - - [10/Aug/2015:17:27:10 -0700] "GET /GoBTJ/resource/jquery-ui-1.11.4/jquery-ui.css HTTP/1.1" 200 36573
0:0:0:0:0:0:0:1 - - [10/Aug/2015:17:27:10 -0700] "GET /GoBTJ/css/font-awesome.css HTTP/1.1" 200 28242
0:0:0:0:0:0:0:1 - - [10/Aug/2015:17:27:10 -0700] "GET /GoBTJ/resource/bootstrap-3.3.4/dist/css/bootstrap.css HTTP/1.1" 200 148206
0:0:0:0:0:0:0:1 - - [10/Aug/2015:17:27:10 -0700] "GET /GoBTJ/resource/jquery-ui-1.11.4/jquery-ui.js HTTP/1.1" 200 487212
0:0:0:0:0:0:0:1 - - [10/Aug/2015:17:27:11 -0700] "GET /GoBTJ/css/fonts/fontawesome-webfont.woff HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [10/Aug/2015:17:27:11 -0700] "GET /GoBTJ/css/fonts/fontawesome-webfont.ttf HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [10/Aug/2015:17:27:17 -0700] "POST /GoBTJ/login.process HTTP/1.1" 404 272
0:0:0:0:0:0:0:1 - - [10/Aug/2015:17:27:23 -0700] "POST /GoBTJ/login.process HTTP/1.1" 404 272
0:0:0:0:0:0:0:1 - - [10/Aug/2015:17:27:30 -0700] "POST /GoBTJ/login HTTP/1.1" 200 3427
0:0:0:0:0:0:0:1 - - [10/Aug/2015:17:27:30 -0700] "GET /GoBTJ/resource/jquery-1.11.2/jquery-1.11.2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2015:17:27:30 -0700] "GET /GoBTJ/resource/bootstrap-3.3.4/dist/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2015:17:27:30 -0700] "GET /GoBTJ/resource/jquery-ui-1.11.4/jquery-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2015:17:27:30 -0700] "GET /GoBTJ/resource/jquery-ui-1.11.4/jquery-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2015:17:27:30 -0700] "GET /GoBTJ/js/json2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2015:17:27:30 -0700] "GET /GoBTJ/resource/custom/js/ajaxPostRequest.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2015:17:27:30 -0700] "GET /GoBTJ/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2015:17:27:30 -0700] "GET /GoBTJ/resource/bootstrap-3.3.4/dist/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2015:17:27:30 -0700] "GET /GoBTJ/resource/custom/js/post.js HTTP/1.1" 304 -
